pozo,fecha,tipo de registro,estrangulador (pg),nivel medio de los disparos (mbmr),gradiente pozo (kg/cm2/m),gradiente yacimiento (kg/cm2/m),presion superficie (kg/cm2),de fondo cerrado gradiente de yacimiento (kg/cm2),de fondo cerrado gradiente de pozo (kg/cm2)
SITIO GRANDE 7,03-09-94,CERRADO,N/A,4019,0.1008,0.056,4.8,369.7,0
SITIO GRANDE 7,05-12-94,CERRADO,N/A,4019,0.0457,0.056,0,359.4,0
SITIO GRANDE 7,09-08-94,CERRADO,N/A,4019,0.0985,0.056,0,363.7,0
SITIO GRANDE 7,11-10-94,CERRADO,N/A,4019,0.0915,0.056,26.5,403.6,0
SITIO GRANDE 7,22-04-95,CERRADO,N/A,2058,0.0901,0.056,70.1,429.6,0
SITIO GRANDE 7,26-04-95,CERRADO,N/A,2058,0.063,0.056,47.1,428.4,0
SITIO GRANDE 7,05-04-95,CERRADO,N/A,2019,0.0608,0.056,54.4,427,0
SITIO GRANDE 7,29-07-95,CERRADO,N/A,2019,0.061,0.056,86.4,423.7,303.8
SITIO GRANDE 7,09-10-95,CERRADO,N/A,2019,0.0612,0.056,81,421.2,359.97
SITIO GRANDE 7,29-09-95,CERRADO,N/A,2019,0.0738,0.056,103.4,420.6,357.37
SITIO GRANDE 7,29-11-95,CERRADO,N/A,2019,0.0604,0.056,75,422.28,324.88
SITIO GRANDE 7,12-01-95,CERRADO,N/A,2019,0.0971,0.056,25,394.18,310.12
SITIO GRANDE 7,24-07-96,CERRADO,N/A,2019,0.0969,0.056,23.6,388.38,367.23
SITIO GRANDE 7,23-01-97,CERRADO,N/A,2019,0.0989,0.056,35,385.98,0
SITIO GRANDE 7,22-05-97,CERRADO,N/A,2019,0.0865,0.056,28.2,379.4,0
SITIO GRANDE 8,07-05-73,CERRADO,N/A,4242.5,0.0668,0.056,36,379.6,0
SITIO GRANDE 8,23-08-73,CERRADO,N/A,4242.5,0.0877,0.056,30,379.2,365.52
SITIO GRANDE 8,24-11-73,CERRADO,N/A,4242.5,0.0221,0.056,30,375.9,366.8
SITIO GRANDE 8,12-12-73,CERRADO,N/A,4242.5,0.0963,0.056,29,351.6,356.76
SITIO GRANDE 8,31-12-73,CERRADO,N/A,4242.5,0.0875,0.056,27,366.2,360.66
SITIO GRANDE 8,30-01-74,CERRADO,N/A,4242.5,0.0528,0.056,25,352.5,0
SITIO GRANDE 8,27-12-74,CERRADO,N/A,4242.5,0.0628,0.056,30,368.7,0
SITIO GRANDE 8,03-09-75,CERRADO,N/A,4242.5,0.0522,0.056,0,531.02,0
SITIO GRANDE 8,04-05-75,CERRADO,N/A,4242.5,0.0289,0.056,0,500.34,0
SITIO GRANDE 8,30-06-75,CERRADO,N/A,4242.5,0.067,0.056,0,463.04,0
SITIO GRANDE 8,31-08-75,CERRADO,N/A,4242.5,0.0555,0.056,0,411.04,0
SITIO GRANDE 8,15-12-75,CERRADO,N/A,4242.5,0.0562,0.056,0,383.14,0
SITIO GRANDE 8,05-02-76,CERRADO,N/A,4242.5,0,0.056,0,368.34,0
SITIO GRANDE 8,14-03-78,CERRADO,N/A,4242.5,0,0.056,0,362.96,0
SITIO GRANDE 8,27-07-78,CERRADO,N/A,4242.5,0,0.056,0,354.59,0
SITIO GRANDE 8,29-10-78,CERRADO,N/A,4242.5,0.1,0.056,0,347.34,0
SITIO GRANDE 8,02-03-79,CERRADO,N/A,4242.5,0.1,0.056,0,479.94,0
SITIO GRANDE 8,05-09-79,CERRADO,N/A,4242.5,0.076,0.056,0,510.04,0
SITIO GRANDE 8,21-11-79,CERRADO,N/A,4242.5,0.061,0.056,0,515.64,0
SITIO GRANDE 8,28-05-80,CERRADO,N/A,4242.5,0.0697,0.056,0,512.04,0
SITIO GRANDE 8,27-01-81,CERRADO,N/A,4242.5,0.0988,0.056,0,531.14,358.11
