pozo,fecha,wor,gor,wc
SITIO GRANDE 100,31/08/1985,0.905929919,362.2186792,47.53217367
SITIO GRANDE 100,30/09/1985,1.17578125,459.5952148,54.03949731
SITIO GRANDE 1001,31/10/1984,0,250.6224026,0
SITIO GRANDE 1001,30/11/1984,0.000302847,211.2956087,0.030275507
SITIO GRANDE 1001,31/12/1984,0.004118051,292.1147792,0.4101162
SITIO GRANDE 1001,31/01/1985,0.004344859,311.3755232,0.432606283
SITIO GRANDE 1001,28/02/1985,0.004305978,314.648075,0.428751576
SITIO GRANDE 1001,31/03/1985,0.004575612,325.3940059,0.455477112
SITIO GRANDE 1001,30/04/1985,0.002179014,216.3298693,0.217427663
SITIO GRANDE 1001,31/05/1985,0.001090996,173.7201774,0.108980731
SITIO GRANDE 1001,30/06/1985,0,235.5760139,0
SITIO GRANDE 1001,31/07/1985,0,218.4250625,0
SITIO GRANDE 1001,31/08/1985,0.151559661,223.358771,13.16125131
SITIO GRANDE 1001,30/09/1985,0.135762562,885.2771672,11.9534282
SITIO GRANDE 1001,31/10/1985,0.011391746,221.2313761,1.126343567
SITIO GRANDE 1001,30/11/1985,0.010383889,223.7153493,1.027717222
SITIO GRANDE 1001,31/12/1985,0.010608771,263.074138,1.049740616
SITIO GRANDE 1001,31/01/1986,0.007887202,227.4239913,0.782548059
SITIO GRANDE 1001,28/02/1986,0,186.6887865,0
SITIO GRANDE 1001,31/03/1986,0,210.5188352,0
SITIO GRANDE 1001,30/04/1986,0,209.796837,0
SITIO GRANDE 1001,31/05/1986,0,200.8574879,0
SITIO GRANDE 1001,30/06/1986,0,197.6310826,0
SITIO GRANDE 1001,31/07/1986,0,206.0499691,0
SITIO GRANDE 1001,31/08/1986,0,205.4126555,0
SITIO GRANDE 1001,30/09/1986,0,197.2207562,0
SITIO GRANDE 1001,31/10/1986,0,198.6633297,0
SITIO GRANDE 1001,30/11/1986,0,188.2877961,0
SITIO GRANDE 1001,31/12/1986,0,205.0290357,0
SITIO GRANDE 1001,31/01/1987,0,237.1592123,0
SITIO GRANDE 1001,28/02/1987,0,241.0046406,0
SITIO GRANDE 1001,31/03/1987,0,224.4152334,0
SITIO GRANDE 1001,30/04/1987,0.000228958,372.3544483,0.022890529
SITIO GRANDE 1001,31/05/1987,0.001239721,1278.908302,0.123818565
SITIO GRANDE 1001,30/06/1987,6.07E-05,178.9282382,0.006065716
SITIO GRANDE 1001,31/07/1987,0,155.2413972,0
SITIO GRANDE 1001,31/08/1987,0,173.4745779,0
SITIO GRANDE 1001,30/09/1987,0,189.8232623,0
SITIO GRANDE 1001,31/10/1987,0,208.4080637,0
SITIO GRANDE 1001,30/11/1987,0,206.1812177,0
SITIO GRANDE 1001,31/12/1987,0,203.3136873,0
SITIO GRANDE 1001,31/01/1988,0,208.3291282,0
SITIO GRANDE 1001,29/02/1988,0,207.433748,0
SITIO GRANDE 1001,31/03/1988,0,204.9623558,0
SITIO GRANDE 1001,30/04/1988,0,225.219476,0
SITIO GRANDE 1001,31/05/1988,0,239.6251196,0
SITIO GRANDE 1001,30/06/1988,0,230.2440487,0
SITIO GRANDE 1001,31/07/1988,0,220.1894084,0
SITIO GRANDE 1001,31/08/1988,0,179.5518652,0
SITIO GRANDE 1001,30/09/1988,0,172.9110215,0
SITIO GRANDE 1001,31/10/1988,0,171.5476185,0
SITIO GRANDE 1001,30/11/1988,0,174.5798279,0
SITIO GRANDE 1001,31/12/1988,0,175.8395402,0
SITIO GRANDE 1001,31/01/1989,0,172.2983881,0
SITIO GRANDE 1001,28/02/1989,0,187.4190825,0
SITIO GRANDE 1001,31/03/1989,0,197.3459322,0
SITIO GRANDE 1001,30/04/1989,0,187.1319502,0
SITIO GRANDE 1001,31/05/1989,0,171.9162975,0
SITIO GRANDE 1001,30/06/1989,0,294.9146238,0
SITIO GRANDE 1001,31/07/1989,0,393.0399488,0
SITIO GRANDE 1001,31/08/1989,0,376.1808535,0
SITIO GRANDE 1001,30/09/1989,0,346.7891033,0
SITIO GRANDE 1001,31/10/1989,0,427.2196555,0
SITIO GRANDE 1001,30/11/1989,0,417.6036476,0
SITIO GRANDE 1001,31/12/1989,0,342.4113679,0
SITIO GRANDE 1001,31/01/1990,0,335.9216831,0
