pozo,fecha,tipo de registro,estrangulador (pg),nivel medio de los disparos (mbmr),gradiente pozo (kg/cm2/m),gradiente yacimiento (kg/cm2/m),presion superficie (kg/cm2),de fondo cerrado gradiente de yacimiento (kg/cm2),de fondo cerrado gradiente de pozo (kg/cm2)
SITIO GRANDE 7,1989-08-13,CERRADO,N/A,4019.0,0.1028,0.056,113.88,410.23,0.0
SITIO GRANDE 7,1989-05-12,CERRADO,N/A,4019.0,0.0936,0.056,14.47,394.87,0.0
SITIO GRANDE 7,1990-02-18,CERRADO,N/A,4019.0,0.0891,0.056,22.54,398.38,0.0
SITIO GRANDE 7,1990-07-05,CERRADO,N/A,4019.0,0.058,0.056,37.74,382.81,0.0
SITIO GRANDE 7,1990-08-16,CERRADO,N/A,4019.0,0.052,0.056,78.07,385.6,0.0
SITIO GRANDE 7,1990-12-13,CERRADO,N/A,4019.0,0.0561,0.056,30.58,413.38,0.0
SITIO GRANDE 7,1991-11-01,CERRADO,N/A,4019.0,0.0637,0.056,32.23,416.52,0.0
SITIO GRANDE 7,1991-11-04,CERRADO,N/A,4019.0,0.101,0.056,0.0,267.52,0.0
SITIO GRANDE 7,1991-08-07,CERRADO,N/A,4019.0,0.0974,0.056,0.0,177.12,0.0
SITIO GRANDE 7,1991-09-11,CERRADO,N/A,4019.0,0.1019,0.056,0.0,188.3,0.0
SITIO GRANDE 7,1991-12-16,CERRADO,N/A,4019.0,0.1,0.056,0.0,222.95,0.0
SITIO GRANDE 7,1992-10-01,CERRADO,N/A,4019.0,0.069,0.056,0.0,286.21,0.0
SITIO GRANDE 7,1992-06-14,CERRADO,N/A,4019.0,0.0639,0.056,0.0,285.21,0.0
SITIO GRANDE 7,1992-07-22,CERRADO,N/A,4019.0,0.0648,0.056,0.0,278.28,0.0
SITIO GRANDE 7,1992-12-15,CERRADO,N/A,4019.0,0.0842,0.056,0.0,224.57,0.0
SITIO GRANDE 7,1993-07-24,CERRADO,N/A,4019.0,0.076,0.056,0.0,270.76,0.0
SITIO GRANDE 7,1993-09-15,CERRADO,N/A,4019.0,0.0653,0.056,0.0,303.29,0.0
SITIO GRANDE 7,1993-10-18,CERRADO,N/A,4019.0,0.0935,0.056,8.96,319.37,0.0
SITIO GRANDE 7,1994-01-18,CERRADO,N/A,4019.0,0.0732,0.056,74.5,201.28,0.0
SITIO GRANDE 7,1994-01-27,CERRADO,N/A,4019.0,0.1018,0.056,62.7,368.0,0.0
SITIO GRANDE 7,1994-09-03,CERRADO,N/A,4019.0,0.1008,0.056,4.8,369.7,0.0
SITIO GRANDE 7,1994-12-05,CERRADO,N/A,4019.0,0.0457,0.056,0.0,359.4,0.0
SITIO GRANDE 7,1994-08-09,CERRADO,N/A,4019.0,0.0985,0.056,0.0,363.7,0.0
SITIO GRANDE 7,1994-10-11,CERRADO,N/A,4019.0,0.0915,0.056,26.5,403.6,0.0
SITIO GRANDE 7,1995-04-22,CERRADO,N/A,2058.0,0.0901,0.056,70.1,429.6,0.0
SITIO GRANDE 7,1995-04-26,CERRADO,N/A,2058.0,0.063,0.056,47.1,428.4,0.0
SITIO GRANDE 7,1995-04-05,CERRADO,N/A,2019.0,0.0608,0.056,54.4,427.0,0.0
SITIO GRANDE 7,1995-07-29,CERRADO,N/A,2019.0,0.061,0.056,86.4,423.7,303.8
SITIO GRANDE 7,1995-10-09,CERRADO,N/A,2019.0,0.0612,0.056,81.0,421.2,359.97
SITIO GRANDE 7,1995-09-29,CERRADO,N/A,2019.0,0.0738,0.056,103.4,420.6,357.37
SITIO GRANDE 7,1995-11-29,CERRADO,N/A,2019.0,0.0604,0.056,75.0,422.28,324.88
SITIO GRANDE 7,1995-01-12,CERRADO,N/A,2019.0,0.0971,0.056,25.0,394.18,310.12
SITIO GRANDE 7,1996-07-24,CERRADO,N/A,2019.0,0.0969,0.056,23.6,388.38,367.23
SITIO GRANDE 7,1997-01-23,CERRADO,N/A,2019.0,0.0989,0.056,35.0,385.98,0.0
SITIO GRANDE 7,1997-05-22,CERRADO,N/A,2019.0,0.0865,0.056,28.2,379.4,0.0
SITIO GRANDE 8,1973-05-07,CERRADO,N/A,4242.5,0.0668,0.056,36.0,379.6,0.0
SITIO GRANDE 8,1973-08-23,CERRADO,N/A,4242.5,0.0877,0.056,30.0,379.2,365.52
SITIO GRANDE 8,1973-11-24,CERRADO,N/A,4242.5,0.0221,0.056,30.0,375.9,366.8
SITIO GRANDE 8,1973-12-12,CERRADO,N/A,4242.5,0.0963,0.056,29.0,351.6,356.76
SITIO GRANDE 8,1973-12-31,CERRADO,N/A,4242.5,0.0875,0.056,27.0,366.2,360.66
SITIO GRANDE 8,1974-01-30,CERRADO,N/A,4242.5,0.0528,0.056,25.0,352.5,0.0
SITIO GRANDE 8,1974-12-27,CERRADO,N/A,4242.5,0.0628,0.056,30.0,368.7,0.0
SITIO GRANDE 8,1975-09-03,CERRADO,N/A,4242.5,0.0522,0.056,0.0,531.02,0.0
SITIO GRANDE 8,1975-05-04,CERRADO,N/A,4242.5,0.0289,0.056,0.0,500.34,0.0
SITIO GRANDE 8,1975-06-30,CERRADO,N/A,4242.5,0.067,0.056,0.0,463.04,0.0
SITIO GRANDE 8,1975-08-31,CERRADO,N/A,4242.5,0.0555,0.056,0.0,411.04,0.0
SITIO GRANDE 8,1975-12-15,CERRADO,N/A,4242.5,0.0562,0.056,0.0,383.14,0.0
SITIO GRANDE 8,1976-02-05,CERRADO,N/A,4242.5,0.0,0.056,0.0,368.34,0.0
